Code,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DZA,Algeria,2390502793,2549720670,2534636872,2727849721,2790849162,2962905028,2983636872,3092430168,3202188607,214000000000
AGO,Angola,847000000000,943000000000,950000000000,964000000000,984000000000,919000000000,872000000000,984000000000,1010000000000,1010000000000
BEN,Benin,592000000000,671000000000,728000000000,821000000000,851000000000,761000000000,691000000000,684000000000,742000000000,795000000000
BWA,Botswana,83799496611,112000000000,128000000000,137000000000,146000000000,116000000000,101000000000,122000000000,101000000000,89417190341
BFA,Burkina Faso,11926922829,12890764531,12319830437,12776220507,13228147516,11386850130,11861199831,13019689337,15156432310,15400242875
BDI,Burundi,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3155065488
CMR,Cameroon,2300000000000,2490000000000,2730000000000,2790000000000,2820000000000,2450000000000,2400000000000,2460000000000,2720000000000,2760000000000
CPV,Cape Verde,290000000000,351000000000,375000000000,390000000000,403000000000,358000000000,357000000000,386000000000,422000000000,417000000000
CAF,Central African Republic,424000000000,530000000000,546000000000,552000000000,526000000000,595000000000,558000000000,644000000000,525000000000,452000000000
TCD,Chad,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13619291361
COM,Comoros,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,648000000
COG,"Congo, Dem. Rep.",1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1605944444,1687533333
COD,"Congo, Rep.",1150000000000,1400000000000,1550000000000,1580000000000,1470000000000,1350000000000,1210000000000,1330000000000,1430000000000,1390000000000
CIV,Cote d'Ivoire,392000000000,431000000000,409000000000,430000000000,442000000000,382000000000,396000000000,416000000000,455000000000,445000000000
DJI,Djibouti,52909294792,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48174235294
EGY,Egypt,2032135247,2235820868,2333308099,2451625333,2705783272,3104394858,2732808557,2748180474,2668495743,2631434363
GNQ,Equatorial Guinea,481000000000,523000000000,496000000000,522000000000,535000000000,462000000000,476000000000,502000000000,543000000000,535000000000
ERI,Eritrea,9535344283,10693321954,11141358945,12517845732,13284528654,11388160958,11821066153,12701654743,14262407012,14391686633
ETH,Ethiopia,10109618964,12080296644,12561016091,13444301139,13943016924,11832159276,12833363370,14106956830,15890065020,16178162030
GAB,Gabon,115000000000,129000000000,133000000000,150000000000,173000000000,195000000000,221000000000,250000000000,274000000000,303000000000
GMB,Gambia,50682061053,57678241024,54300857424,55810138436,57082011260,50781996713,53953897624,59199447421,66363422450,68915416142
